condition,bin,K,head_set,recall,recall_any,recall_all
lora_base,0k,3,own_top16,0.0638,1.0000,0.0000
lora_base,0k,3,published_top16,0.0638,1.0000,0.0000
lora_base,0k,5,own_top16,0.1063,1.0000,0.0000
lora_base,0k,5,published_top16,0.1063,1.0000,0.0000
lora_base,0k,10,own_top16,0.2125,1.0000,0.0000
lora_base,0k,10,published_top16,0.2125,1.0000,0.0000
y2_base,0k,3,own_top16,0.0638,1.0000,0.0000
y2_base,0k,3,published_top16,0.0638,1.0000,0.0000
y2_base,0k,5,own_top16,0.1063,1.0000,0.0000
y2_base,0k,5,published_top16,0.1063,1.0000,0.0000
y2_base,0k,10,own_top16,0.2125,1.0000,0.0000
y2_base,0k,10,published_top16,0.2125,1.0000,0.0000
y2_rpe_cur_L16k,0k,3,own_top16,0.0638,1.0000,0.0000
y2_rpe_cur_L16k,0k,3,published_top16,0.0638,1.0000,0.0000
y2_rpe_cur_L16k,0k,5,own_top16,0.1063,1.0000,0.0000
y2_rpe_cur_L16k,0k,5,published_top16,0.1063,1.0000,0.0000
y2_rpe_cur_L16k,0k,10,own_top16,0.2125,1.0000,0.0000
y2_rpe_cur_L16k,0k,10,published_top16,0.2125,1.0000,0.0000
lora_base,1k,3,own_top16,0.0913,0.5536,0.0000
lora_base,1k,3,published_top16,0.0918,0.5714,0.0000
lora_base,1k,5,own_top16,0.1450,0.6964,0.0000
lora_base,1k,5,published_top16,0.1432,0.6964,0.0000
lora_base,1k,10,own_top16,0.2672,0.8750,0.0179
lora_base,1k,10,published_top16,0.2834,0.8750,0.0357
y2_base,1k,3,own_top16,0.0909,0.5357,0.0000
y2_base,1k,3,published_top16,0.1008,0.5714,0.0000
y2_base,1k,5,own_top16,0.1415,0.6964,0.0000
y2_base,1k,5,published_top16,0.1361,0.6429,0.0000
y2_base,1k,10,own_top16,0.2557,0.8393,0.0357
y2_base,1k,10,published_top16,0.2524,0.8214,0.0357
y2_rpe_cur_L16k,1k,3,own_top16,0.1023,0.5714,0.0000
y2_rpe_cur_L16k,1k,3,published_top16,0.0880,0.5179,0.0000
y2_rpe_cur_L16k,1k,5,own_top16,0.1339,0.6786,0.0000
y2_rpe_cur_L16k,1k,5,published_top16,0.1466,0.6607,0.0000
y2_rpe_cur_L16k,1k,10,own_top16,0.2801,0.8571,0.0357
y2_rpe_cur_L16k,1k,10,published_top16,0.2704,0.8571,0.0179
lora_base,2k,3,own_top16,0.0638,1.0000,0.0000
lora_base,2k,3,published_top16,0.0638,1.0000,0.0000
lora_base,2k,5,own_top16,0.1063,1.0000,0.0000
lora_base,2k,5,published_top16,0.1058,1.0000,0.0000
lora_base,2k,10,own_top16,0.2106,1.0000,0.0000
lora_base,2k,10,published_top16,0.2060,1.0000,0.0000
y2_base,2k,3,own_top16,0.0638,1.0000,0.0000
y2_base,2k,3,published_top16,0.0638,1.0000,0.0000
y2_base,2k,5,own_top16,0.1063,1.0000,0.0000
y2_base,2k,5,published_top16,0.1040,1.0000,0.0000
y2_base,2k,10,own_top16,0.2074,1.0000,0.0000
y2_base,2k,10,published_top16,0.1945,1.0000,0.0000
y2_rpe_cur_L16k,2k,3,own_top16,0.0638,1.0000,0.0000
y2_rpe_cur_L16k,2k,3,published_top16,0.0638,1.0000,0.0000
y2_rpe_cur_L16k,2k,5,own_top16,0.1063,1.0000,0.0000
y2_rpe_cur_L16k,2k,5,published_top16,0.1058,1.0000,0.0000
y2_rpe_cur_L16k,2k,10,own_top16,0.2125,1.0000,0.0000
y2_rpe_cur_L16k,2k,10,published_top16,0.2097,1.0000,0.0000
lora_base,4k,3,own_top16,0.0638,1.0000,0.0000
lora_base,4k,3,published_top16,0.0638,1.0000,0.0000
lora_base,4k,5,own_top16,0.1063,1.0000,0.0000
lora_base,4k,5,published_top16,0.1063,1.0000,0.0000
lora_base,4k,10,own_top16,0.2103,1.0000,0.0000
lora_base,4k,10,published_top16,0.2008,1.0000,0.0000
y2_base,4k,3,own_top16,0.0638,1.0000,0.0000
y2_base,4k,3,published_top16,0.0628,1.0000,0.0000
y2_base,4k,5,own_top16,0.1041,1.0000,0.0000
y2_base,4k,5,published_top16,0.1008,1.0000,0.0000
y2_base,4k,10,own_top16,0.1945,1.0000,0.0000
y2_base,4k,10,published_top16,0.1709,1.0000,0.0000
y2_rpe_cur_L16k,4k,3,own_top16,0.0638,1.0000,0.0000
y2_rpe_cur_L16k,4k,3,published_top16,0.0638,1.0000,0.0000
y2_rpe_cur_L16k,4k,5,own_top16,0.1063,1.0000,0.0000
y2_rpe_cur_L16k,4k,5,published_top16,0.1063,1.0000,0.0000
y2_rpe_cur_L16k,4k,10,own_top16,0.2104,1.0000,0.0000
y2_rpe_cur_L16k,4k,10,published_top16,0.2074,1.0000,0.0000
lora_base,8k,3,own_top16,0.0638,1.0000,0.0000
lora_base,8k,3,published_top16,0.0638,1.0000,0.0000
lora_base,8k,5,own_top16,0.1063,1.0000,0.0000
lora_base,8k,5,published_top16,0.1057,1.0000,0.0000
lora_base,8k,10,own_top16,0.2069,1.0000,0.0000
lora_base,8k,10,published_top16,0.1973,1.0000,0.0000
y2_base,8k,3,own_top16,0.0634,1.0000,0.0000
y2_base,8k,3,published_top16,0.0623,1.0000,0.0000
y2_base,8k,5,own_top16,0.1028,1.0000,0.0000
y2_base,8k,5,published_top16,0.0974,1.0000,0.0000
y2_base,8k,10,own_top16,0.1827,1.0000,0.0000
y2_base,8k,10,published_top16,0.1623,1.0000,0.0000
y2_rpe_cur_L16k,8k,3,own_top16,0.0638,1.0000,0.0000
y2_rpe_cur_L16k,8k,3,published_top16,0.0638,1.0000,0.0000
y2_rpe_cur_L16k,8k,5,own_top16,0.1053,1.0000,0.0000
y2_rpe_cur_L16k,8k,5,published_top16,0.1061,1.0000,0.0000
y2_rpe_cur_L16k,8k,10,own_top16,0.2007,1.0000,0.0000
y2_rpe_cur_L16k,8k,10,published_top16,0.1988,1.0000,0.0000
lora_base,16k,3,own_top16,0.0638,1.0000,0.0000
lora_base,16k,3,published_top16,0.0638,1.0000,0.0000
lora_base,16k,5,own_top16,0.1053,1.0000,0.0000
lora_base,16k,5,published_top16,0.1053,1.0000,0.0000
lora_base,16k,10,own_top16,0.2053,1.0000,0.0000
lora_base,16k,10,published_top16,0.1964,1.0000,0.0000
y2_base,16k,3,own_top16,0.0629,1.0000,0.0000
y2_base,16k,3,published_top16,0.0614,1.0000,0.0000
y2_base,16k,5,own_top16,0.1016,1.0000,0.0000
y2_base,16k,5,published_top16,0.0948,1.0000,0.0000
y2_base,16k,10,own_top16,0.1722,1.0000,0.0000
y2_base,16k,10,published_top16,0.1553,1.0000,0.0000
y2_rpe_cur_L16k,16k,3,own_top16,0.0638,1.0000,0.0000
y2_rpe_cur_L16k,16k,3,published_top16,0.0630,1.0000,0.0000
y2_rpe_cur_L16k,16k,5,own_top16,0.1054,1.0000,0.0000
y2_rpe_cur_L16k,16k,5,published_top16,0.1043,1.0000,0.0000
y2_rpe_cur_L16k,16k,10,own_top16,0.1943,1.0000,0.0000
y2_rpe_cur_L16k,16k,10,published_top16,0.1888,1.0000,0.0000
lora_base,32k,3,own_top16,0.0638,1.0000,0.0000
lora_base,32k,3,published_top16,0.0638,1.0000,0.0000
lora_base,32k,5,own_top16,0.1063,1.0000,0.0000
lora_base,32k,5,published_top16,0.1057,1.0000,0.0000
lora_base,32k,10,own_top16,0.2044,1.0000,0.0000
lora_base,32k,10,published_top16,0.1991,1.0000,0.0000
y2_base,32k,3,own_top16,0.0633,1.0000,0.0000
y2_base,32k,3,published_top16,0.0623,1.0000,0.0000
y2_base,32k,5,own_top16,0.1007,1.0000,0.0000
y2_base,32k,5,published_top16,0.0958,1.0000,0.0000
y2_base,32k,10,own_top16,0.1803,1.0000,0.0000
y2_base,32k,10,published_top16,0.1626,1.0000,0.0000
y2_rpe_cur_L16k,32k,3,own_top16,0.0638,1.0000,0.0000
y2_rpe_cur_L16k,32k,3,published_top16,0.0638,1.0000,0.0000
y2_rpe_cur_L16k,32k,5,own_top16,0.1057,1.0000,0.0000
y2_rpe_cur_L16k,32k,5,published_top16,0.1041,1.0000,0.0000
y2_rpe_cur_L16k,32k,10,own_top16,0.1992,1.0000,0.0000
y2_rpe_cur_L16k,32k,10,published_top16,0.1904,1.0000,0.0000
lora_base,64k,3,own_top16,0.0638,1.0000,0.0000
lora_base,64k,3,published_top16,0.0629,1.0000,0.0000
lora_base,64k,5,own_top16,0.1040,1.0000,0.0000
lora_base,64k,5,published_top16,0.1008,1.0000,0.0000
lora_base,64k,10,own_top16,0.1959,1.0000,0.0000
lora_base,64k,10,published_top16,0.1674,1.0000,0.0000
y2_base,64k,3,own_top16,0.0622,1.0000,0.0000
y2_base,64k,3,published_top16,0.0576,1.0000,0.0000
y2_base,64k,5,own_top16,0.0946,1.0000,0.0000
y2_base,64k,5,published_top16,0.0870,1.0000,0.0000
y2_base,64k,10,own_top16,0.1553,1.0000,0.0000
y2_base,64k,10,published_top16,0.1361,1.0000,0.0000
y2_rpe_cur_L16k,64k,3,own_top16,0.0621,1.0000,0.0000
y2_rpe_cur_L16k,64k,3,published_top16,0.0607,1.0000,0.0000
y2_rpe_cur_L16k,64k,5,own_top16,0.1007,1.0000,0.0000
y2_rpe_cur_L16k,64k,5,published_top16,0.0958,1.0000,0.0000
y2_rpe_cur_L16k,64k,10,own_top16,0.1661,1.0000,0.0000
y2_rpe_cur_L16k,64k,10,published_top16,0.1503,1.0000,0.0000
lora_base,128k,3,own_top16,0.0598,1.0000,0.0000
lora_base,128k,3,published_top16,0.0542,1.0000,0.0000
lora_base,128k,5,own_top16,0.0925,1.0000,0.0000
lora_base,128k,5,published_top16,0.0765,1.0000,0.0000
lora_base,128k,10,own_top16,0.1493,1.0000,0.0000
lora_base,128k,10,published_top16,0.1149,1.0000,0.0000
y2_base,128k,3,own_top16,0.0515,0.9833,0.0000
y2_base,128k,3,published_top16,0.0434,0.9667,0.0000
y2_base,128k,5,own_top16,0.0716,0.9833,0.0000
y2_base,128k,5,published_top16,0.0599,1.0000,0.0000
y2_base,128k,10,own_top16,0.1100,1.0000,0.0000
y2_base,128k,10,published_top16,0.0863,1.0000,0.0000
y2_rpe_cur_L16k,128k,3,own_top16,0.0568,0.9833,0.0000
y2_rpe_cur_L16k,128k,3,published_top16,0.0492,0.9833,0.0000
y2_rpe_cur_L16k,128k,5,own_top16,0.0847,1.0000,0.0000
y2_rpe_cur_L16k,128k,5,published_top16,0.0726,1.0000,0.0000
y2_rpe_cur_L16k,128k,10,own_top16,0.1380,1.0000,0.0000
y2_rpe_cur_L16k,128k,10,published_top16,0.1105,1.0000,0.0000
